#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
28,),P9,,"Defense, Whistle",,,0:12.6,N/A,N/A,1:40.80,1:53.37,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #07 Ana Milanovic, #55 Maya Hernandez, #13 Ivana Krajina",,,
29,),P9,,"Defense, Whistle",,,0:20.6,N/A,N/A,1:58.96,2:19.53,Live,,,,,"#13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, #07 Ana Milanovic",,,
30,9,P9,,Defense,,,0:16.6,N/A,N/A,2:40.09,2:56.66,Live,,,,,"#24 Kayla Jones, #04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #22 Ali'a Matavao",,,
31,9,P9,,"Defense, Deflection",,,0:20.4,N/A,N/A,3:10.95,3:31.33,Live,,,,,"#13 Ivana Krajina, #03 Danae Powell, #0 Sarah Deng, #06 Shawnee Nordstrom, #55 Maya Hernandez",,,
32,@,P9,,"Defense, Whistle",,,0:14.2,N/A,N/A,3:37.34,3:51.52,Live,,,,,"#11 Erica Finney, #02 Mari Somvichian, #08 Shanayka Ismar, #24 Kayla Jones, #04 Allison Clarke",,,
33,@-8-#-8-#,P9,,"Defense, Allow Middle, Allow UC 3, Allow O-Board, Allow Paint Touch",,,0:41.6,N/A,N/A,0:18.55,1:00.15,Live,,,,,"#02 Mari Somvichian, #24 Kayla Jones, #04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney",,,
34,9,P9,,"Defense, Deflection",,,0:12.1,N/A,N/A,0:07.22,0:19.29,Live,,,,,"#07 Ana Milanovic, #13 Ivana Krajina, #55 Maya Hernandez, #03 Danae Powell, #06 Shawnee Nordstrom",,,
35,#,P9,,"Defense, Allow UC 3",,,0:23.5,N/A,N/A,0:22.36,0:45.85,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #03 Danae Powell, #07 Ana Milanovic",,,
36,9,P9,,Defense,,,0:18.1,N/A,N/A,0:31.98,0:50.06,Live,,,,,"#24 Kayla Jones, #03 Danae Powell, #55 Maya Hernandez, #06 Shawnee Nordstrom, #08 Shanayka Ismar",,,
37,9,P9,,Offense,,,0:16.2,N/A,N/A,0:52.19,1:08.40,Live,,,,,"#24 Kayla Jones, #03 Danae Powell, #55 Maya Hernandez, #06 Shawnee Nordstrom, #08 Shanayka Ismar, Transition",,,
38,#-8-@-8-@-8-9,P9,,Offense,,,0:33.3,N/A,N/A,1:35.23,2:08.49,Live,,,,,"#06 Shawnee Nordstrom, #55 Maya Hernandez, #24 Kayla Jones, #03 Danae Powell, #08 Shanayka Ismar, Half-court",,,
39,2,P9,,Defense,,,0:07.0,N/A,N/A,2:07.36,2:14.32,Live,,,,,"#03 Danae Powell, #24 Kayla Jones, #08 Shanayka Ismar, #55 Maya Hernandez, #06 Shawnee Nordstrom",,,
40,),P9,,"Offense, Whistle",,,0:21.5,N/A,N/A,2:14.32,2:35.83,Live,,,,,"#55 Maya Hernandez, #03 Danae Powell, #24 Kayla Jones, #06 Shawnee Nordstrom, #08 Shanayka Ismar, Transition",,,
41,#,P9,,Defense,,,0:20.4,N/A,N/A,2:42.46,3:02.83,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, #04 Allison Clarke, #11 Erica Finney, #13 Ivana Krajina",,,
42,@-8-@-),P9,,Offense,,,0:15.6,N/A,N/A,3:01.69,3:17.30,Live,,,,,"#11 Erica Finney, #04 Allison Clarke, #13 Ivana Krajina, #0 Sarah Deng, #07 Ana Milanovic, Transition",,,
43,),P9,,"Defense, Whistle, Allow Paint Touch",,,0:15.9,N/A,N/A,0:02.39,0:18.29,Live,,,,,"#13 Ivana Krajina, #04 Allison Clarke, #11 Erica Finney, #07 Ana Milanovic, #0 Sarah Deng",,,
44,#-8-0,P9,,"Defense, Allow O-Board, Allow Paint Touch",,,0:25.2,N/A,N/A,1:04.46,1:29.65,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #11 Erica Finney, #0 Sarah Deng, #13 Ivana Krajina",,,
