#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
1,3,P5,,"Defense, Allow Middle, Allow Paint Touch, Allow UC 3",,,0:20.0,N/A,N/A,0:06.53,0:26.53,Live,,,,,"#6 Shawnee Nordstrom, #0 Sarah Deng, #55 Maya Hernandez, #04 Allison Clarke, #24 Kayla Jones",,,
2,0,P5,,Defense,,,0:10.3,N/A,N/A,0:46.55,0:56.83,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #6 Shawnee Nordstrom, #04 Allison Clarke, #55 Maya Hernandez",,,
3,),P5,,Defense,,,0:14.2,N/A,N/A,1:03.75,1:17.92,Live,,,,,"#11 Erica Finney, #08 Shanayka Ismar, #30 Janay Brantley, #03 Danae Powell, #22 Ali'a Matavao",,,
4,9,P5,,"Defense, Deflection",,,0:06.4,N/A,N/A,2:11.24,2:17.63,Live,,,,,"#03 Danae Powell, #13 Ivana Krajina, #07 Ana Milanovic, #11 Erica Finney, #02 Mari Somvichian",,,
5,9,P5,,"Defense, Deflection",,,0:10.6,N/A,N/A,2:26.19,2:36.77,Live,,,,,"#11 Erica Finney, #13 Ivana Krajina, #03 Danae Powell, #07 Ana Milanovic, #02 Mari Somvichian",,,
6,9,P5,,"Defense, Allow Middle, Allow Paint Touch, Deflection",,,0:12.9,N/A,N/A,2:44.79,2:57.66,Live,,,,,"#55 Maya Hernandez, #24 Kayla Jones, #6 Shawnee Nordstrom, #0 Sarah Deng, #04 Allison Clarke",,,
7,),P5,,Defense,,,0:09.1,N/A,N/A,3:16.36,3:25.49,Live,,,,,"#30 Janay Brantley, #11 Erica Finney, #03 Danae Powell, #08 Shanayka Ismar, #22 Ali'a Matavao",,,
8,2,P5,,"Defense, Allow Middle, Allow Paint Touch",,,0:19.2,N/A,N/A,0:06.68,0:25.93,Live,,,,,"#03 Danae Powell, #11 Erica Finney, #22 Ali'a Matavao, #30 Janay Brantley, #08 Shanayka Ismar",,,
9,2,P5,,"Defense, Allow Paint Touch",,,0:10.6,N/A,N/A,0:45.82,0:56.40,Live,,,,,"#55 Maya Hernandez, #6 Shawnee Nordstrom, #04 Allison Clarke, #24 Kayla Jones, #0 Sarah Deng",,,
10,),P5,,Defense,,,0:14.6,N/A,N/A,1:10.72,1:25.30,Live,,,,,"#22 Ali'a Matavao, #08 Shanayka Ismar, #30 Janay Brantley, #03 Danae Powell, #11 Erica Finney",,,
11,#,P5,,"Defense, Allow Paint Touch, Allow UC 3",,,0:17.6,N/A,N/A,2:02.16,2:19.80,Live,,,,,"#13 Ivana Krajina, #03 Danae Powell, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney",,,
