Week,PossessionID,Side,Notes,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
3,88,Defense,P10,MS-SI-AC-EF-KJ,False,0:13.3,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
3,89,Offense,P10,SD-SN-DP-IK-MH,True,0:20.2,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,90,Offense,P10,SD-SN-DP-IK-MH,True,0:28.1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,91,Offense,P10,SD-SN-DP-IK-MH,True,0:14.7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,92,Offense,P10,SD-SN-DP-IK-MH,False,0:17.3,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
3,93,Defense,P10,SD-SN-DP-IK-MH,False,0:05.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
3,94,Offense,P10,SD-SN-DP-IK-MH,False,0:10.9,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
3,95,Defense,P10,SD-SN-DP-IK-MH,False,0:14.2,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
3,96,Offense,P10,SD-SN-DP-IK-MH,False,0:18.9,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
3,97,Defense,P10,SD-SN-DP-IK-MH,True,0:13.2,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,98,Defense,P10,MS-SI-AC-EF-KJ,True,0:10.7,0,0,0,0,1,0,0,1,0,0,True,False,False,False,True,False
3,99,Offense,P10,MS-SI-AC-EF-KJ,False,0:16.8,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,100,Defense,P10,MS-SI-AC-EF-KJ,True,0:06.1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,101,Offense,P10,MS-SI-AC-EF-KJ,False,0:20.5,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,102,Offense,P10,MS-SI-AC-EF-KJ,False,0:14.2,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
3,103,Defense,P10,MS-SI-AC-EF-KJ,False,0:23.5,1,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
3,104,Offense,P10,MS-SI-AC-EF-KJ,True,0:11.7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,105,Offense,P10,MS-SI-AC-EF-KJ,False,0:15.0,1,0,1,0,0,0,0,1,0,0,False,False,False,False,False,False
3,106,Defense,P10,MS-SI-AC-EF-KJ,True,0:18.3,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,107,Offense,P10,MS-SI-AC-EF-KJ,False,0:15.6,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False
3,108,Offense,P10,MS-SI-AC-EF-KJ,False,0:35.4,0,0,0,0,3,3,0,0,0,3,False,False,False,False,False,False
3,109,Defense,P10,MS-SI-AC-EF-KJ,False,0:07.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
3,110,Offense,P10,MS-SI-AC-EF-KJ,False,0:08.1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3,111,Defense,P10,MS-SI-AC-EF-KJ,False,0:16.8,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
3,112,Defense,P11,SD-SN-SI-EF-MH,False,0:19.7,0,0,1,0,0,0,0,0,0,0,True,False,True,True,False,False
3,113,Defense,P11,MS-DP-AC-IK-KJ,False,0:16.8,0,0,1,0,0,0,1,1,0,0,True,True,False,False,True,False
3,114,Defense,P11,SN-SI-EF-AM7-MH,True,0:16.9,0,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
3,115,Defense,P11,MS-DP-AC-IK-KJ,False,0:11.7,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
3,116,Defense,P11,SD-SN-EF-AM7-MH,True,0:09.5,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,117,Defense,P11,SD-SN-EF-AM7-MH,True,0:09.7,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,118,Defense,P11,SD-SN-EF-AM7-MH,False,0:27.2,1,0,1,0,0,0,1,2,0,0,True,False,True,True,True,True
3,119,Defense,P11,MS-DP-AC-IK-KJ,False,0:11.7,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,120,Defense,P11,SD-SI-EF-AM7-MH,True,0:14.3,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False
3,121,Defense,P11,MS-DP-AC-IK-KJ,False,0:16.1,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
3,122,Defense,P11,SD-SN-SI-AM7-MH,False,0:22.2,0,0,1,0,0,0,0,0,0,0,True,True,False,False,False,False
3,123,Defense,P11,MS-DP-AC-IK-KJ,False,0:26.8,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
3,124,Defense,P11,SD-SN-SI-EF-MH,False,0:08.9,0,0,0,0,0,0,0,0,1,0,True,True,False,False,False,False
3,125,Defense,P11,SD-SN-SI-EF-MH,True,0:18.7,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,126,Defense,P11,SD-SN-SI-EF-MH,False,0:29.0,1,0,1,1,0,0,0,1,0,3,True,False,False,True,True,False
3,127,Defense,P11,SD-SN-SI-EF-MH,False,0:12.3,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
3,128,Defense,P11,MS-DP-AC-IK-KJ,False,0:23.4,2,1,0,0,0,0,0,1,0,2,True,True,True,False,True,False
3,129,Defense,P11,SD-SN-SI-EF-MH,False,0:28.1,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False
3,130,Defense,P11,MS-DP-AC-IK-KJ,True,0:12.2,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,131,Offense,P11,MS-DP-AC-IK-KJ,False,0:21.2,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
3,132,Defense,P11,MS-DP-AC-IK-KJ,True,0:11.1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,133,Defense,P11,SD-SN-SI-EF-MH,False,0:23.3,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,134,Defense,P11,SD-SN-SI-EF-MH,True,0:11.7,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,135,Defense,P11,SD-SN-SI-EF-MH,False,0:21.1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,136,Offense,P11,SD-SN-SI-EF-MH,False,0:16.1,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
3,137,Defense,P11,SD-SN-SI-EF-MH,False,0:24.2,1,0,1,0,0,0,0,1,0,0,True,False,True,True,False,False
3,138,Defense,P11,MS-DP-AC-IK-KJ,True,0:11.6,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
3,139,Defense,P11,MS-DP-AC-IK-KJ,False,0:15.1,1,1,1,0,1,1,0,1,1,3,True,False,False,False,False,False
3,140,Defense,P11,MS-DP-AC-IK-KJ,True,0:12.4,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
