Lineup,Minutes,Off Min,Def Min,Total Possessions,Off Poss,Def Poss,PM_p40,Net_RTG,Off PPP,Def PPP,ORTG,DRTG,Plus_Minus,rel_PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,O_eFG%,O_TOV%,O_ORB%,O_FTR,D_eFG%,D_TOV%,D_ORB%,D_FTR,Stop Rate,Score Rate,Stops,Scores,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FGA,FGM,2FGA Allowed,2FGM Allowed,3PA Allowed,3PM Allowed,FTA Allowed,FTM Allowed,TOV Forced,O-Boards Allowed,FGA Allowed,FGM Allowed,Points For,Points Against,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
MS-SD-IK-EF-AM7,0.695,0.425,0.27,3,2,1,115.108,100.0,1.0,0.0,100.0,0.0,2,126.375,13.793,-69.942,83.735,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1,1,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-DP-IK-AM7,0.652,0.542,0.11,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SD-EF-AM7-MH,0.617,0.617,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SD-DP-SI-KJ,0.563,0.0,0.563,2,0,2,-142.012,-100.0,0.0,1.0,0.0,100.0,-2,-130.745,-86.207,30.058,-116.265,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,2,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SI-EF-AM7-MH,0.555,0.0,0.555,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
DP-DP-SI-AC-IK-AM7,0.507,0.507,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-IK-AM7-KJ,0.498,0.302,0.197,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-AC-EF-AM7,0.492,0.0,0.492,2,0,2,-244.068,-150.0,0.0,1.5,0.0,150.0,-3,-232.801,-86.207,80.058,-166.265,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,3,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SI-AC-AM7-MH,0.483,0.483,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-AC-A'M-EF-KJ,0.43,0.262,0.168,2,1,1,-186.047,-200.0,0.0,2.0,0.0,200.0,-2,-174.78,-86.207,130.058,-216.265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-SI-KJ-MH,0.375,0.0,0.375,2,0,2,-213.333,-100.0,0.0,1.0,0.0,100.0,-2,-202.066,-86.207,30.058,-116.265,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,2,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SI-A'M-EF-KJ,0.375,0.0,0.375,1,0,1,-213.333,-200.0,0.0,2.0,0.0,200.0,-2,-202.066,-86.207,130.058,-216.265,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,0,2,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-IK-KJ-MH,0.37,0.257,0.113,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-SI-AM7-MH,0.37,0.0,0.37,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SD-DP-JB-MH,0.357,0.0,0.357,2,0,2,-336.449,-150.0,0.0,1.5,0.0,150.0,-3,-325.182,-86.207,80.058,-166.265,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,3,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-AC-A'M-JB-AM7,0.357,0.0,0.357,2,0,2,-448.598,-200.0,0.0,2.0,0.0,200.0,-4,-437.331,-86.207,130.058,-216.265,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,4,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-AC-A'M-JB-MH,0.282,0.0,0.282,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-SI-EF-AM7-MH,0.282,0.0,0.282,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SI-AC-A'M-EF-KJ,0.277,0.0,0.277,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-DP-IK-AM7-MH,0.27,0.0,0.27,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-SN-SI-IK-AM7-KJ,0.243,0.243,0.0,1,1,0,493.151,300.0,3.0,0.0,300.0,0.0,3,504.418,213.793,-69.942,283.735,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SN-DP-SI-EF-KJ,0.228,0.0,0.228,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
MS-AC-EF-AM7-KJ,0.178,0.0,0.178,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
SD-SN-SI-EF-AM7,0.087,0.0,0.087,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11.267,-86.207,-69.942,-16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.555,-21,116,173,289,86.207,69.942,16.265,-11.267
