PossessionID,Notes,Side,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
48,P9,Offense,SN-DP-SI-KJ-MH,False,0:08.2,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
49,P9,Defense,SN-DP-SI-KJ-MH,False,0:07.9,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
50,P9,Offense,SN-DP-SI-KJ-MH,False,0:21.0,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
51,P9,Defense,SN-DP-SI-KJ-MH,False,0:09.8,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
52,P9,Offense,SN-DP-SI-KJ-MH,False,0:08.9,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
53,P9,Defense,SN-DP-SI-KJ-MH,False,0:08.3,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
54,P9,Offense,SN-DP-SI-KJ-MH,False,0:05.9,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
55,P9,Defense,SN-DP-SI-KJ-MH,True,0:06.4,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
56,P9,Defense,SN-DP-SI-KJ-MH,False,0:16.0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
57,P9,Offense,SN-DP-SI-KJ-MH,False,0:05.1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
58,P9,Defense,SN-DP-SI-KJ-MH,False,0:07.8,3,1,0,0,0,0,0,2,0,2,True,False,False,False,True,False
59,P9,Offense,SN-DP-SI-KJ-MH,False,0:15.9,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
60,P9,Defense,SN-DP-SI-KJ-MH,False,0:13.6,0,0,0,0,0,0,1,0,0,0,True,True,True,False,False,True
61,P9,Defense,SD-SN-IK-AM7-KJ,False,0:11.8,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
62,P9,Offense,SD-SN-IK-AM7-KJ,False,0:11.0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
63,P9,Offense,SD-SN-IK-AM7-KJ,False,0:07.1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64,P9,Defense,SD-SN-AC-IK-AM7,False,0:18.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
65,P9,Offense,SD-SN-AC-IK-AM7,False,0:05.7,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
66,P9,Defense,SD-SN-AC-IK-AM7,False,0:16.7,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
67,P9,Offense,SD-SN-AC-IK-AM7,True,0:14.3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
68,P9,Offense,SD-SN-AC-IK-AM7,False,0:30.8,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
69,P9,Defense,SD-SN-AC-IK-AM7,True,0:15.5,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
70,P9,Defense,SD-SN-AC-IK-AM7,False,0:11.2,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
71,P9,Offense,SD-SN-AC-IK-AM7,False,0:13.6,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
72,P9,Defense,SD-SN-AC-IK-AM7,False,0:07.6,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
73,P9,Offense,SD-SN-AC-IK-AM7,False,0:07.1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
74,P9,Defense,SD-SN-AC-IK-AM7,True,0:13.9,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
75,P9,Defense,SD-SN-AC-IK-AM7,False,0:08.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
76,P9,Offense,SD-SN-AC-IK-AM7,False,0:06.8,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
77,P10,Defense,SD-SN-DP-IK-MH,False,0:16.5,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
78,P10,Defense,MS-SI-AC-EF-KJ,False,0:24.9,0,0,1,0,0,0,0,0,0,0,True,True,True,True,False,False
79,P10,Defense,SD-SN-DP-IK-MH,False,0:25.2,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
80,P10,Defense,SD-SN-DP-IK-MH,False,0:21.0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
81,P10,Defense,MS-SI-AC-EF-KJ,False,0:10.8,1,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False
82,P10,Defense,MS-SI-AC-EF-KJ,False,0:20.5,0,0,0,0,0,0,0,0,1,0,True,False,False,False,False,False
83,P10,Defense,SD-SN-DP-IK-MH,False,0:26.5,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
84,P10,Defense,MS-SI-AC-EF-KJ,False,0:13.2,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
85,P10,Defense,SD-SN-DP-IK-MH,True,0:16.5,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
86,P10,Defense,SD-SN-DP-IK-MH,True,0:14.8,0,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
87,P10,Defense,MS-SI-AC-EF-KJ,False,0:18.0,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
88,P10,Defense,MS-SI-AC-EF-KJ,False,0:13.3,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
89,P10,Offense,SD-SN-DP-IK-MH,True,0:20.2,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
90,P10,Offense,SD-SN-DP-IK-MH,True,0:28.1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
91,P10,Offense,SD-SN-DP-IK-MH,True,0:14.7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
92,P10,Offense,SD-SN-DP-IK-MH,False,0:17.3,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
93,P10,Defense,SD-SN-DP-IK-MH,False,0:05.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
94,P10,Offense,SD-SN-DP-IK-MH,False,0:10.9,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
95,P10,Defense,SD-SN-DP-IK-MH,False,0:14.2,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
96,P10,Offense,SD-SN-DP-IK-MH,False,0:18.9,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
97,P10,Defense,SD-SN-DP-IK-MH,True,0:13.2,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
98,P10,Defense,MS-SI-AC-EF-KJ,True,0:10.7,0,0,0,0,1,0,0,1,0,0,True,False,False,False,True,False
99,P10,Offense,MS-SI-AC-EF-KJ,False,0:16.8,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
100,P10,Defense,MS-SI-AC-EF-KJ,True,0:06.1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
101,P10,Offense,MS-SI-AC-EF-KJ,False,0:20.5,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
102,P10,Offense,MS-SI-AC-EF-KJ,False,0:14.2,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
103,P10,Defense,MS-SI-AC-EF-KJ,False,0:23.5,1,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
104,P10,Offense,MS-SI-AC-EF-KJ,True,0:11.7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
105,P10,Offense,MS-SI-AC-EF-KJ,False,0:15.0,1,0,1,0,0,0,0,1,0,0,False,False,False,False,False,False
106,P10,Defense,MS-SI-AC-EF-KJ,True,0:18.3,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
107,P10,Offense,MS-SI-AC-EF-KJ,False,0:15.6,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False
108,P10,Offense,MS-SI-AC-EF-KJ,False,0:35.4,0,0,0,0,3,3,0,0,0,3,False,False,False,False,False,False
109,P10,Defense,MS-SI-AC-EF-KJ,False,0:07.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
110,P10,Offense,MS-SI-AC-EF-KJ,False,0:08.1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
111,P10,Defense,MS-SI-AC-EF-KJ,False,0:16.8,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
